AMAHS|(Noun) a female domestic\n(Noun) an unmarried girl (especially a virgin)
AMAIN|(Adverb) at full speed; with great haste\n(Adverb) with all your strength
AMASS|(Verb) assemble or get together\n(Noun) the act of gathering something\n(Verb) conclude from evidence\n(Verb) draw together into folds or puckers\n(Verb) draw and bring closer\n(Verb) look for (food) in nature
AMATE|
AMAUT|
AMAZE|(Verb) affect with wonder
AMBAN|
AMBER|(Adjective) of a medium to dark brownish yellow color\n(Noun) a hard yellowish to brownish translucent fossil resin; used for jewelry
AMBIT|(Noun) an area in which something acts or operates or has power or control: "the range of a supersonic jet"
AMBLE|(Verb) walk leisurely
AMBOS|(Verb) cause to be perplexed or confounded\n(Noun) the part of a limb or tooth that remains after the rest is removed\n(Verb) travel through a district and make political speeches\n(Verb) remove tree stumps from
AMBRY|
AMEBA|(Noun) naked freshwater or marine or parasitic protozoa that form temporary pseudopods for feeding and locomotion
AMEER|(Noun) an independent ruler or chieftain (especially in Africa or Arabia)
AMEND|(Verb) make amendments to
AMENE|
AMENS|(Noun) a primeval Egyptian personification of air and breath; worshipped especially at Thebes
AMENT|(Noun) a cylindrical spikelike inflorescence
AMIAS|(Noun) type genus of the Amiidae
AMICE|
AMICI|
AMIDE|(Noun) any organic compound containing the group -CONH2
AMIDO|
AMIDS|
AMIES|
AMIGA|
AMIGO|(Noun) a friend or comrade
AMINE|(Noun) a compound derived from ammonia by replacing hydrogen atoms by univalent hydrocarbon radicals
AMINO|(Adjective) pertaining to or containing any of a group of organic compounds of nitrogen derived from ammonia
AMINS|
AMIRS|(Noun) an independent ruler or chieftain (especially in Africa or Arabia)
AMISS|(Adjective) not functioning properly\n(Adverb) in an improper or mistaken or unfortunate manner
AMITY|(Noun) a cordial disposition\n(Noun) a state of friendship and cordiality
AMLAS|
AMMAN|(Noun) the capital and largest city of Jordan
AMMON|
AMMOS|(Noun) projectiles to be fired from a gun\n(Noun) any nuclear or chemical or biological material that can be used as a weapon of mass destruction\n(Noun) information that can be used to attack or defend a claim or argument or viewpoint
AMNIA|(Noun) thin innermost membranous sac enclosing the developing embryo of higher vertebrates (reptiles, birds and mammals)
AMNIC|(Adjective) of or related to the amnion or characterized by developing an amnion
AMNIO|
AMOKS|
AMOLE|
AMONG|
AMORT|(Adjective) utterly cast down
AMOUR|(Noun) a usually secretive or illicit sexual relationship\n(Noun) a vaguely specified social event
AMOVE|
AMOWT|
AMPED|
AMPLE|(Adjective) more than enough in size or scope or capacity\n(Adjective) affording an abundant supply\n(Adjective) fairly large
AMPLY|(Adverb) to an ample degree or in an ample manner\n(Adverb) sufficiently; more than adequately
AMPUL|(Noun) a small bottle that contains a drug (especially a sealed sterile container for injection by needle)
AMRIT|
AMUCK|(Adjective) frenzied as if possessed by a demon
AMUSE|(Verb) occupy in an agreeable, entertaining or pleasant fashion\n(Verb) make (somebody) laugh
AMYLS|(Noun) a hydrocarbon radical that occurs in many organic compounds
ANANA|
ANATA|
ANCHO|
ANCLE|
ANCON|
ANDRO|
ANEAR|
ANELE|(Verb) choose by or as if by divine intervention\n(Verb) administer an oil or ointment to; often in a religious ceremony of blessing
ANENT|
ANGAS|(Noun) a Chadic language spoken in northern Nigeria and closely related to Hausa
ANGEL|(Noun) spiritual being attendant upon God\n(Noun) invests in a theatrical production\n(Noun) the highest waterfall; has more than one leap; flow varies seasonally
ANGER|(Verb) make angry\n(Verb) become angry
ANGLE|(Verb) move or proceed at an angle\n(Noun) a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons\n(Verb) fish with a hook
ANGLO|
ANGRY|(Adjective) feeling or showing anger\n(Adjective) (of the elements) as if showing violent anger\n(Adjective) severely inflamed and painful
ANGST|(Noun) an acute but unspecific feeling of anxiety; usually reserved for philosophical anxiety about the world or about personal freedom
ANIGH|
ANILE|(Adjective) of or like a feeble old woman
ANILS|(Noun) deciduous subshrub of southeastern Asia having pinnate leaves and clusters of red or purple flowers; a source of indigo dye\n(Noun) a blue-violet color\n(Adjective) having a color between blue and violet
ANIMA|(Noun) (Jungian psychology) the inner self (not the external persona) that is in touch with the unconscious
ANIME|(Noun) any of various resins or oleoresins
ANIMI|
ANION|(Noun) a negatively charged ion
ANISE|(Noun) native to Egypt but cultivated widely for its aromatic seeds and the oil from them used medicinally and as a flavoring in cookery\n(Noun) liquorice-flavored seeds, used medicinally and in cooking and liquors
ANKER|
ANKHS|
ANKLE|(Noun) a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
